Time,Duration,Voltage,Current
15:45:57,0.00,21.533,0.208
15:45:58,1.00,21.530,0.213
15:45:59,2.00,21.528,0.217
15:46:00,3.00,21.533,0.217
15:46:01,4.00,21.533,0.215
15:46:02,5.01,21.530,0.210
15:46:03,6.01,21.530,0.219
15:46:04,7.01,21.533,0.221
15:46:05,8.01,21.530,0.215
15:46:06,9.01,21.533,0.205
15:46:07,10.01,21.530,0.202
15:46:08,11.01,21.533,0.219
15:46:09,12.01,21.533,0.215
15:46:10,13.01,21.528,0.219
15:46:11,14.01,21.530,0.213
15:46:12,15.01,21.530,0.210
15:46:13,16.01,21.530,0.215
15:46:14,17.02,21.528,0.215
15:46:15,18.02,21.528,0.209
15:46:16,19.02,21.528,0.217
15:46:17,20.02,21.530,0.210
15:46:18,21.02,21.528,0.215
15:46:19,22.02,21.528,0.217
15:46:20,23.02,21.528,0.216
15:46:21,24.02,21.530,0.210
15:46:22,25.02,21.530,0.214
15:46:23,26.02,21.528,0.211
15:46:24,27.02,21.526,0.214
15:46:25,28.03,21.530,0.224
15:46:26,29.03,21.526,0.219
15:46:27,30.03,21.528,0.219
15:46:28,31.03,21.533,0.211
15:46:29,32.03,21.533,0.219
15:46:30,33.03,21.528,0.208
15:46:31,34.03,21.530,0.211
15:46:32,35.03,21.530,0.221
15:46:33,36.03,21.530,0.210
15:46:34,37.04,21.533,0.215
15:46:35,38.04,21.530,0.216
15:46:36,39.04,21.530,0.213
15:46:37,40.04,21.528,0.209
15:46:38,41.04,21.533,0.214
15:46:39,42.04,21.530,0.222
15:46:40,43.04,21.535,0.208
15:46:41,44.04,21.533,0.204
15:46:42,45.04,21.530,0.210
15:46:43,46.05,21.528,0.214
15:46:44,47.05,21.530,0.217
15:46:45,48.05,21.526,0.216
15:46:46,49.05,21.533,0.213
15:46:47,50.05,21.530,0.215
15:46:48,51.05,21.526,0.210
15:46:49,52.05,21.530,0.211
15:46:50,53.06,21.533,0.209
15:46:51,54.06,21.521,0.210
15:46:52,55.06,21.519,0.219
15:46:53,56.06,21.528,0.217
15:46:54,57.06,21.530,0.215
15:46:55,58.06,21.535,0.219
15:46:56,59.07,21.535,0.209
15:46:57,60.07,21.530,0.219
15:46:58,61.07,21.533,0.215
15:46:59,62.07,21.528,0.221
15:47:00,63.07,21.528,0.213
15:47:01,64.07,21.530,0.211
15:47:02,65.08,21.533,0.220
15:47:03,66.08,21.530,0.219
15:47:04,67.08,21.530,0.211
15:47:05,68.08,21.530,0.214
15:47:06,69.08,21.533,0.211
15:47:07,70.08,21.530,0.211
15:47:08,71.08,21.530,0.217
15:47:09,72.09,21.528,0.216
15:47:10,73.09,21.528,0.219
15:47:11,74.09,21.535,0.213
15:47:12,75.09,21.533,0.205
15:47:13,76.09,21.528,0.209
15:47:14,77.09,21.530,0.220
15:47:15,78.09,21.530,0.217
15:47:16,79.09,21.530,0.216
15:47:17,80.10,21.535,0.211
15:47:18,81.10,21.530,0.215
15:47:19,82.10,21.530,0.214
15:47:20,83.10,21.533,0.208
15:47:21,84.10,21.530,0.216
15:47:22,85.10,21.537,0.219
15:47:23,86.10,21.530,0.224
15:47:24,87.11,21.530,0.215
15:47:25,88.11,21.528,0.215
15:47:26,89.11,21.526,0.213
15:47:27,90.11,21.530,0.213
15:47:28,91.11,21.533,0.219
15:47:29,92.11,21.528,0.205
15:47:30,93.11,21.528,0.216
15:47:31,94.12,21.524,0.210
15:47:32,95.12,21.526,0.219
15:47:33,96.12,21.533,0.213
15:47:34,97.12,21.528,0.199
15:47:35,98.12,21.530,0.216
15:47:36,99.12,21.533,0.216
15:47:37,100.13,21.526,0.210
15:47:38,101.13,21.533,0.203
15:47:39,102.13,21.535,0.216
15:47:40,103.13,21.528,0.211
15:47:41,104.13,21.530,0.224
15:47:42,105.13,21.530,0.213
15:47:43,106.13,21.535,0.216
15:47:44,107.14,21.535,0.213
15:47:45,108.14,21.535,0.217
15:47:46,109.14,21.521,0.221
15:47:47,110.14,21.528,0.221
15:47:48,111.14,21.530,0.215
15:47:49,112.14,21.539,0.215
15:47:50,113.14,21.530,0.224
15:47:51,114.15,21.533,0.201
15:47:52,115.15,21.530,0.216
15:47:53,116.15,21.528,0.216
15:47:54,117.15,21.535,0.213
15:47:55,118.15,21.533,0.213
15:47:56,119.15,21.528,0.214
15:47:57,120.15,21.530,0.220
15:47:58,121.15,21.530,0.209
15:47:59,122.16,21.535,0.211
15:48:00,123.16,21.533,0.213
15:48:01,124.16,21.530,0.210
15:48:02,125.16,21.524,0.219
15:48:03,126.16,21.530,0.214
15:48:04,127.16,21.528,0.215
15:48:05,128.16,21.535,0.222
15:48:06,129.17,21.530,0.207
15:48:07,130.17,21.528,0.215
15:48:08,131.17,21.530,0.214
15:48:09,132.17,21.528,0.217
15:48:10,133.17,21.533,0.215
15:48:11,134.17,21.530,0.220
15:48:12,135.17,21.530,0.219
15:48:13,136.18,21.528,0.213
15:48:14,137.18,21.533,0.219
15:48:15,138.18,21.530,0.226
15:48:16,139.18,21.533,0.215
15:48:17,140.18,21.528,0.214
15:48:18,141.18,21.530,0.210
15:48:19,142.18,21.530,0.217
15:48:20,143.19,21.530,0.214
15:48:21,144.19,21.530,0.215
15:48:22,145.19,21.533,0.224
15:48:23,146.19,21.530,0.214
15:48:24,147.19,21.526,0.220
15:48:25,148.19,21.528,0.215
15:48:26,149.20,21.533,0.219
15:48:27,150.20,21.530,0.213
15:48:28,151.20,21.530,0.224
15:48:29,152.20,21.528,0.209
15:48:30,153.20,21.530,0.207
15:48:31,154.20,21.535,0.216
15:48:32,155.20,21.530,0.215
15:48:33,156.21,21.530,0.215
15:48:34,157.21,21.528,0.213
15:48:35,158.21,21.526,0.209
15:48:36,159.21,21.526,0.219
15:48:37,160.21,21.526,0.216
15:48:38,161.21,21.526,0.219
15:48:39,162.22,21.530,0.216
15:48:40,163.22,21.533,0.216
15:48:41,164.22,21.528,0.208
15:48:42,165.22,21.528,0.220
15:48:43,166.22,21.517,0.211
15:48:44,167.22,21.521,0.217
15:48:45,168.23,21.528,0.216
15:48:46,169.23,21.533,0.203
