Time,Duration,Voltage,Current
17:07:59,0.00,2.507,0.006
17:08:00,1.02,2.506,-0.004
17:08:01,2.02,2.505,-0.000
17:08:02,3.03,2.503,0.002
17:08:03,4.04,2.502,-0.000
17:08:04,5.04,2.501,-0.007
17:08:05,6.06,2.501,0.640
17:08:06,7.07,3.319,0.626
17:08:07,8.09,3.319,0.601
17:08:08,9.10,3.319,0.635
17:08:09,10.12,3.319,0.613
17:08:10,11.13,3.319,0.611
17:08:11,12.14,3.319,0.601
17:08:12,13.16,3.319,0.587
17:08:13,14.17,3.319,0.602
17:08:14,15.18,3.318,0.628
17:08:15,16.20,3.318,0.602
17:08:16,17.21,3.318,0.614
17:08:17,18.22,3.318,0.001
17:08:18,19.23,2.533,-0.003
17:08:19,20.24,2.528,0.002
17:08:20,21.25,2.523,0.003
17:08:21,22.27,2.520,0.003
17:08:22,23.28,2.517,-0.000
17:08:23,24.28,2.513,0.007
17:08:24,25.30,2.511,0.009
17:08:25,26.31,2.509,0.006
17:08:26,27.32,2.507,0.003
17:08:27,28.32,2.506,0.003
17:08:28,29.34,2.504,0.001
17:08:29,30.35,2.502,0.015
17:08:30,31.35,2.501,0.005
17:08:31,32.35,2.501,0.003
17:08:32,33.37,2.500,0.006
17:08:33,34.38,2.499,0.006
