Time,Duration,Voltage,Current
18:00:21,0.00,-0.125,-0.069
18:00:22,1.02,-0.128,-0.067
18:00:23,2.02,-0.128,-0.069
18:00:24,3.03,-0.128,-0.065
18:00:25,4.04,4.398,0.359
18:00:26,5.05,4.416,0.356
18:00:27,6.06,4.419,0.358
18:00:28,7.07,4.419,0.365
18:00:29,8.08,4.416,0.362
18:00:30,9.10,4.419,0.374
18:00:31,10.11,4.416,0.363
18:00:32,11.12,4.421,0.367
18:00:33,12.13,1.143,0.540
18:00:34,13.14,12.140,-0.060
18:00:35,14.15,4.441,0.395
18:00:36,15.15,1.954,0.541
18:00:37,16.17,12.142,0.539
18:00:38,17.18,4.425,0.413
18:00:39,18.19,4.450,0.401
18:00:40,19.20,4.454,0.417
18:00:41,20.22,4.454,0.398
18:00:42,21.23,4.450,0.397
18:00:43,22.24,4.450,0.397
18:00:44,23.24,4.450,0.406
18:00:45,24.26,4.452,0.403
18:00:46,25.26,4.452,0.410
18:00:47,26.28,4.452,0.403
18:00:48,27.30,4.450,0.411
18:00:49,28.31,4.450,0.426
18:00:50,29.33,4.452,0.406
18:00:51,30.34,4.452,0.389
18:00:52,31.35,4.450,0.399
18:00:53,32.36,4.450,0.403
18:00:54,33.37,4.450,0.397
18:00:55,34.38,4.450,0.410
18:00:56,35.39,4.448,0.410
18:00:57,36.41,4.450,0.405
18:00:58,37.42,4.448,0.376
18:00:59,38.42,4.448,0.417
18:01:00,39.44,4.448,0.403
18:01:01,40.45,4.450,0.401
18:01:02,41.46,4.450,0.397
18:01:03,42.48,4.448,0.399
18:01:04,43.49,4.450,0.403
18:01:05,44.50,4.450,0.418
18:01:06,45.52,4.450,0.404
18:01:07,46.53,4.450,0.394
18:01:08,47.55,4.450,0.412
18:01:09,48.55,4.448,0.400
18:01:10,49.56,4.448,0.399
18:01:11,50.56,4.448,0.413
18:01:12,51.58,4.448,0.401
18:01:13,52.59,4.448,0.420
18:01:14,53.60,4.448,0.391
18:01:15,54.61,4.448,0.400
18:01:16,55.62,4.450,0.405
18:01:17,56.63,4.448,0.392
18:01:18,57.64,4.450,0.416
18:01:19,58.65,4.445,0.399
18:01:20,59.66,4.445,0.397
18:01:21,60.67,4.448,0.393
18:01:22,61.69,4.448,0.400
18:01:23,62.70,4.450,0.389
18:01:24,63.72,4.448,0.406
18:01:25,64.73,4.448,0.404
18:01:26,65.73,4.445,0.399
18:01:27,66.75,4.448,0.401
18:01:28,67.76,4.448,0.395
18:01:29,68.77,4.445,0.394
18:01:30,69.79,4.445,0.403
18:01:31,70.80,4.445,0.407
18:01:32,71.81,4.448,0.399
18:01:33,72.82,4.445,0.411
18:01:34,73.83,4.445,0.405
18:01:35,74.85,4.445,0.400
18:01:36,75.86,4.445,0.422
18:01:37,76.86,4.443,0.405
18:01:39,77.88,4.445,0.394
18:01:40,78.90,4.445,0.400
18:01:41,79.91,4.443,0.409
18:01:42,80.92,4.443,0.407
18:01:43,81.93,4.445,0.401
18:01:44,82.95,4.443,0.418
18:01:45,83.96,4.445,0.394
18:01:46,84.98,4.445,0.411
